오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
66,1000000385083G00110000000000100507,사리원시,"SDE.ST_GEOMETRY(8,583,838799.5539,2050003.047,860190.3564,2069119.589,NULL,NULL,NULL,NULL,209688301.7,87351.21226,19,'oracle.sql.BLOB@40301494')"
67,1000000385093G00110000000000100555,장연군,"SDE.ST_GEOMETRY(264,1459,768720.9838,2019381.546,800821.819,2044229.073,NULL,NULL,NULL,NULL,404708664.2,119869.315,19,'oracle.sql.BLOB@45a393f7')"
68,1000000385094G00110000000000100547,송화군,"SDE.ST_GEOMETRY(8,875,788398.8076,2031424.454,803198.0857,2055586.756,NULL,NULL,NULL,NULL,193265706.5,77776.49037,19,'oracle.sql.BLOB@4b57553a')"
69,1000000385103G00110000000000100548,삼천군,"SDE.ST_GEOMETRY(8,806,798866.0683,2025797.624,817051.012,2054477.757,NULL,NULL,NULL,NULL,335373376.7,94698.4578,19,'oracle.sql.BLOB@12e0eaab')"
70,1000000385112G00110000000000100513,재령군,"SDE.ST_GEOMETRY(8,1069,832204.7067,2026296.095,851362.9532,2066708.288,NULL,NULL,NULL,NULL,327679688.9,126141.9164,19,'oracle.sql.BLOB@5234d8d7')"
71,1000000385113G00110000000000100551,신천군,"SDE.ST_GEOMETRY(8,877,813016.8491,2022643.836,837841.247,2051338.567,NULL,NULL,NULL,NULL,480686611.3,109770.3487,19,'oracle.sql.BLOB@bd1d54d')"
72,1000000385122G00110000000000100520,봉산군,"SDE.ST_GEOMETRY(8,794,851806.3387,2042374.279,881056.867,2064941.721,NULL,NULL,NULL,NULL,424421031.5,107023.4306,19,'oracle.sql.BLOB@7adeaf88')"
73,1000000385123G00110000000000100545,은파군,"SDE.ST_GEOMETRY(8,673,842147.1784,2029071.399,870009.5903,2055678.033,NULL,NULL,NULL,NULL,388408611.7,122143.6365,19,'oracle.sql.BLOB@6ffeb7ca')"
74,1000000385143G00110000000000100569,태탄군,"SDE.ST_GEOMETRY(8,3626,795346.5634,2002728.585,816602.0395,2029528.752,NULL,NULL,NULL,NULL,357068248.5,123466.4435,19,'oracle.sql.BLOB@1b782882')"
75,1000000385152G00110000000000100559,신원군,"SDE.ST_GEOMETRY(8,862,826638.4334,2011566.835,866005.7301,2037323.542,NULL,NULL,NULL,NULL,492340705.5,128326.1281,19,'oracle.sql.BLOB@1e86ed1d')"
76,1000000385153G00110000000000100574,벽성군,"SDE.ST_GEOMETRY(8,846,813294.0541,1997898.809,837601.8116,2024496.418,NULL,NULL,NULL,NULL,439867151.2,107958.0791,19,'oracle.sql.BLOB@112bb3aa')"
